States,States Code,Year,GDP,Unemployment,Population,Poverty
West Virginia,WV,2012,73124.5,7.2,"1,803",16.7
Wisconsin,WI,2012,299007.6,6.9,"5,628",11.4
Wyoming,WY,2012,38085,5.5,577,9.6
Alabama,AL,2013,206962.9,7.3,"4,807",18.5
Alaska,AK,2013,54627.6,7.0,696,9.7
Arizona,AZ,2013,298859.9,7.8,"6,532",17.8
Arkansas,AR,2013,119842.8,7.1,"2,852",13.9
California,CA,2013,2340335.3,9.0,"38,210",15.1
Colorado,CO,2013,301484.1,6.7,"5,303",10.7
Connecticut,CT,2013,258911,8.0,"3,637",10.9
Delaware,DE,2013,68656.8,6.6,912,11.2
District of Columbia,DC,2013,124094.8,8.4,647,23.2
Florida,FL,2013,880183.5,7.5,"19,460",14.8
Georgia,GA,2013,499900.2,8.1,"9,848",18.5
Hawaii,HI,2013,80534.9,4.8,"1,338",10.6
Idaho,ID,2013,64769.8,6.8,"1,610",12.4
Illinois,IL,2013,795435.2,9.1,"12,650",13.6
Indiana,IN,2013,333207.4,7.5,"6,557",16.5
Iowa,IA,2013,171069.1,4.7,"3,076",13.2
Kansas,KS,2013,150702.9,5.3,"2,760",11.4
Kentucky,KY,2013,196698,7.9,"4,501",22.0
Louisiana,LA,2013,236482.3,6.4,"4,534",21.2
Maine,ME,2013,59013.9,6.7,"1,330",11.4
Maryland,MD,2013,364633.2,6.5,"5,946",10.5
Massachusetts,MA,2013,486991.8,6.6,"6,735",12.1
Michigan,MI,2013,472779.9,8.7,"10,070",12.7
Minnesota,MN,2013,329774.5,5.0,"5,349",11.0
Mississippi,MS,2013,109032.7,8.5,"2,895",19.1
Missouri,MO,2013,302025.7,6.8,"5,955",17.5
Montana,MT,2013,45114.7,5.4,980,10.5
Nebraska,NE,2013,111382.2,3.7,"1,868",10.5
Nevada,NV,2013,144549.3,10.0,"2,774",14.5
New Hampshire,NH,2013,75503.4,5.3,"1,301",5.5
New Jersey,NJ,2013,570952.4,8.4,"8,728",9.9
New Mexico,NM,2013,90104,6.9,"2,079",25.8
New York,NY,2013,1501818,7.8,"19,340",17.3
North Carolina,NC,2013,497456.6,7.8,"9,672",14.7
North Dakota,ND,2013,54690.9,2.9,716,13.2
Ohio,OH,2013,603057.4,7.5,"11,280",14.9
Oklahoma,OK,2013,176086.8,5.1,"3,697",21.2
Oregon,OR,2013,189609.7,7.8,"3,969",14.0
Pennsylvania,PA,2013,704195,7.1,"12,800",11.2
Rhode Island,RI,2013,57037.2,9.5,"1,032",9.3
South Carolina,SC,2013,200147.3,7.4,"4,676",19.3
South Dakota,SD,2013,48610.1,3.7,827,13.3
Tennessee,TN,2013,318347.9,7.8,"6,272",15.5
Texas,TX,2013,1511806.5,6.3,"26,200",16.9
Utah,UT,2013,145026.9,4.2,"2,923",12.2
Vermont,VT,2013,31494.6,4.4,629,6.8
Virginia,VA,2013,488741.3,5.6,"8,230",9.8
Washington,WA,2013,439472.2,6.6,"6,877",12.2
West Virginia,WV,2013,73949,6.7,"1,805",19.8
Wisconsin,WI,2013,301550.5,6.7,"5,615",13.5
Wyoming,WY,2013,38408.7,4.8,592,11.4
Alabama,AL,2014,206070,6.7,"4,765",17.8
Alaska,AK,2014,53303.3,6.7,694,11.9
Arizona,AZ,2014,301721.2,6.8,"6,657",21.2
Arkansas,AR,2014,121409.4,5.9,"2,891",18.4
California,CA,2014,2428675.7,7.6,"38,670",15.8
Colorado,CO,2014,315399,5.0,"5,376",12.3
Connecticut,CT,2014,260605.8,6.6,"3,577",8.6
Delaware,DE,2014,73961.7,5.6,929,11.0
District of Columbia,DC,2014,126883.9,7.7,657,19.0
Florida,FL,2014,905648.5,6.4,"19,690",16.7
Georgia,GA,2014,517511.9,7.1,"9,948",16.8
Hawaii,HI,2014,81304.9,4.2,"1,365",10.8
Idaho,ID,2014,66784.9,4.4,"1,606",12.4
Illinois,IL,2014,811490.1,7.2,"12,770",13.7
Indiana,IN,2014,343827.8,5.9,"6,470",14.6
Iowa,IA,2014,180309.9,4.2,"3,078",10.3
Kansas,KS,2014,154110.1,4.5,"2,851",12.1
Kentucky,KY,2014,196795.8,6.4,"4,299",20.0
Louisiana,LA,2014,243042.9,6.3,"4,550",23.1
Maine,ME,2014,59589.8,5.6,"1,300",14.6
Maryland,MD,2014,370343.9,5.7,"5,934",9.8
Massachusetts,MA,2014,496250.9,5.7,"6,653",13.6
Michigan,MI,2014,479534.9,7.2,"9,893",14.8
Minnesota,MN,2014,338623.9,4.3,"5,417",8.3
Mississippi,MS,2014,109299.6,7.6,"2,961",22.1
Missouri,MO,2014,303617.8,6.2,"5,950",10.4
Montana,MT,2014,46166.7,4.7,"1,008",12.0
Nebraska,NE,2014,115651.9,3.3,"1,873",11.8
Nevada,NV,2014,145303.6,8.2,"2,819",17.0
New Hampshire,NH,2014,76836.2,4.3,"1,318",7.2
New Jersey,NJ,2014,570696.4,6.7,"8,938",11.3
New Mexico,NM,2014,92621.1,6.6,"2,030",20.0
New York,NY,2014,1535375.9,6.3,"19,660",14.0
North Carolina,NC,2014,509782.4,6.1,"9,823",17.1
North Dakota,ND,2014,60193,2.6,731,9.7
Ohio,OH,2014,624973.4,5.8,"11,510",15.6
Oklahoma,OK,2014,186574.4,4.3,"3,728",17.3
Oregon,OR,2014,195808.2,6.7,"3,955",14.4
Pennsylvania,PA,2014,718691.6,5.9,"12,620",12.5
Rhode Island,RI,2014,57602.7,7.8,"1,046",11.3
South Carolina,SC,2014,206077.9,6.3,"4,764",16.5
South Dakota,SD,2014,49640.9,3.3,846,12.8
Tennessee,TN,2014,323879.6,6.6,"6,496",17.3
Texas,TX,2014,1559636.1,5.2,"26,680",16.4
Utah,UT,2014,150076.3,3.6,"2,928",10.2
Vermont,VT,2014,31847.7,4.0,615,9.3
Virginia,VA,2014,488918.6,5.1,"8,257",10.2
Washington,WA,2014,456186.5,5.9,"7,079",12.0
